ID,IMAGE_URL,NAME,SKU,CATEGORY,COLOR,SIZE,WEIGHT,DESCRIPTION,PRICE,BRAND
P_110052356,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Born Acrylic Paint 200mL Forest Green,110052356,Paint,,,0.375,"The Born Acrylic Paint is ideal for aspiring artists and art hobbyists, providing a smooth painting experience when you stroke it on the canvas. It dries to a permanent, water-proof satin finish that is non-toxic for your peace of mind. The colour-mixing and blending properties allow you to experiment with colours and it can even be thinned with water for a wash affect, allowing you to continue improving on your artistic skills and tapping into your creativity.  Features This acrylic paint is water-based and dries to a permanent satin finish.The properties of the paint allow for colour mixing and blending.It can be thinned with water to create a wash effect.It's great for creating art on paper, card, wood and a variety of other surfaces.It is non-toxic for your peace of mind.It comes in a 200 mL size.This paint has a sleek, forest green colour. ",,Born
P_110052057,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Pebeo Origin Acrylic Paint 120mL Cadmium Orange Hue,110052057,Paint,,,0.375,"Pebeo Acrylic Paint is an ideal addition to your art set. It provides rich and vibrant pigments on your page, and gives an eye-catching matt finish to your masterpieces.  Features This is water-based paint.50% of the Pebeo origin range is single pigment, which makes it suited for mixing.The paint is odour free and suitable for vegans.This bottle comes with 120mL of paint.It comes in a Cadmium Orange Hue colourway. ",,Pebeo
P_110052188,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Reeves Intro Acrylic Paint 100mL Brilliant Red,110052188,Paint,,,0.375,"Experience the vibrant colour and excellent coverage of Reeves Acrylic Paint. The high quality acrylic resin allows for consistent brush stroke retention and a free flowing application so you can get creative with your own works of art.  Features The paint is water based and has a high pigment saturation for rich and vibrant colour and clean colour mixing.You don't need to add gloss mediums thanks to the high gloss finish.The quick drying paint allows for minimal colour shift from wet to dry and has impressive opacity.It is perfect for a variety of surfaces, such as canvas, paper, wood and fabric.The paint can be used straight from the tube to create impasto effects and it can be diluted with water for watercolour effects.The tube contains 100 mL of paint.This paint is Brilliant Red colour. ",,Reeves
P_110052143,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Derwent Metallic Paint Pan 12 Pack,110052143,Paint,,,0.375,"These Derwent Metallic Paint Pans offer a wide spectrum of colours from light silver to deep graphite, to add a reflective glint to any watercolour artwork. The light-catching pigments work effectively on both light and dark paper.  Features These paint pans use a water-based formula.They're ideal for watercolour work.The formula uses light-catching pigments for a metallic glint that stands out.There are 12 paint pans in the pack. ",,Derwent
P_110052820,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Reeves Watercolour Paint 12mL Raw Sienna,110052820,Paint,,,0.375,"This Reeves Watercolour Paint offers intense, lightfast colour on paper and canvas. Its versatility and colour brilliance ensures that it's suitable for both artists and students alike.  Features The paint is water-based.The paint is lightfast to protect against fading.It's non-toxic for your peace of mind.There are 12 mL of paint in this pack.The paint is a raw sienna tone. ",,Reeves
P_110052510,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Global Colours High Flow Acrylic Paint 250mL Zen Blue,110052510,Paint,,,0.375,"This Global Colours High Flow Acrylic Paint is a product that offers versatility and new creative opportunities for artists of all levels. This paint is low viscosity and flexible, delivering intense pigment for painting, drawing, staining, inking, airbrushing, and more. The strong colours are ideal for fine line detail to broad brushstrokes.  Features This water-based acrylic paint is intensely pigmented and offers versatile effects.You can use it with Global Colours mediums for unlimited possibilities and impressive techniques.When dry, it is water-resistant.It's suitable for use on paper, canvas, wood, glass, metal, masonite boards, plywood and cardboard.It is non-toxic.This paint is self-levelling with no fillers or extenders.There is 250 mL of acrylic paint.It comes in zen blue.This packaging is environmentally-friendly.This paint is flexible and low viscosity.This paint does not contain lead, chromium, or cadmium.The strong colours are ideal for fine line detail to broad brushstr",,Global Colours
P_110052832,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Pebeo Origin Acrylic Paint 120mL Iridescent Graphite,110052832,Paint,,,0.375,"Pebeo Acrylic Paint is an ideal addition to your art set. It provides rich and vibrant pigments on your page, and gives an eye-catching matt finish to your masterpieces.  Features This is water-based paint.50% of the Pebeo origin range is single pigment, which makes it suited for mixing.The paint is odour free and suitable for vegans.This bottle comes with 120mL of paint.It comes in an Iridescent Graphite colourway. ",,Pebeo
P_110052080,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Reeves Oil Paint 50mL Deep Yellow,110052080,Paint,,,0.375,"This Reeves Oil Paint is ideal for creating your own masterpieces. It is highly pigmented and has a buttery, smooth texture, making it ideal for blending, glazing and impasto. It has a long drying time allowing you to revise and fix mistakes while still wet, and it can be cleaned with solvents.  Features It’s an oil-based paint.It has long-drying properties allowing you to fix mistakes before the paint sets.The highly pigmented and smooth texture ensures that your painting pops on the page.It is non-toxic for your safety.It comes in a handy 50 mL size bottle.This paint is a deep yellow colour. ",,Reeves
P_110052601,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Gamblin Galkyd Medium 500ml,110052601,Paint,,,0.375,"This Gamblin Galkyd Oil Medium thins oil colours to increase their transparency and gloss. When used in greater proportions with your oil colours, it will level brushstrokes, creating an enamel-like surface. It's the fastest drying of Gamblin mediums, with thin layers becoming touch-dry in approximately 24 hours.  Features This medium is suitable for thinning oil-based paints.It increases the transparency and gloss of the paints, and with greater proportions can create an enamel effect.A thin layer can become touch-dry in approximately 24 hours.The bottle contains 500ml of medium. ",,Gamblin
P_110052336,"https://kmartau.mo.cloudinary.net/undefined?tx=w_300,h_300,c_pad",Atelier Interactive Artist Acrylic 80mL Cad Yellow Light S4,110052336,Paint,,,0.375,"This Atelier Interactive Artist Acrylic is richly pigmented and lightfast so you can enjoy bright and long lasting works of art. It's fast drying so you won't have to wait long before you can frame or mount your paintings. This paint is ideal for use by artists, hobbyists and students alike and has a satin finish, making your art look complete and professional.  Features It has a smooth and buttery consistency for easy application.It can be used with mediums for added versatility.The paint is fast drying so you can enjoy your art almost right away.The paints are easy to blend so you can create your own colours.The paint is lightfast and has a velvet satin finish to be long lasting.There is 80 mL of acrylic in each tube.This paint is a Cadmium Yellow Light colour.This product falls under the ‘Vegan’ People and Planet Positive range, meaning it’s free from any animal ingredients or by-products which in turn lowers carbon, water and ecological footprints, so you can make a positive differ",,Atelier
